ano_agricola,dsc_safra_previsao,uf,produto,id_produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t
1979/80             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,617.0,12.5,0.0
1979/80             ,UNICA          ,SE,ALGODAO EM PLUMA                        ,4586,15.0,0.7,0.0
1979/80             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,284.0,178.7,0.6
1980/81             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,91.0,5.4,0.1
1980/81             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,82.5,16.2,0.2
1980/81             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,1436.0,32.0,0.0
1980/81             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,38.0,25.0,0.7
1980/81             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,59.8,4.3,0.1
1980/81             ,UNICA          ,MG,ALGODAO EM PLUMA                        ,4586,103.0,28.7,0.3
1980/81             ,UNICA          ,MS,ALGODAO EM PLUMA                        ,4586,47.0,19.6,0.4
1980/81             ,UNICA          ,MT,ALGODAO EM PLUMA                        ,4586,6.6,1.4,0.2
1980/81             ,UNICA          ,PB,ALGODAO EM PLUMA                        ,4586,727.0,22.3,0.0
1980/81             ,UNICA          ,PE,ALGODAO EM PLUMA                        ,4586,309.0,9.6,0.0
1980/81             ,UNICA          ,PI,ALGODAO EM PLUMA                        ,4586,173.0,5.2,0.0
1980/81             ,UNICA          ,PR,ALGODAO EM PLUMA                        ,4586,305.8,208.0,0.7
1980/81             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,440.0,13.3,0.0
1980/81             ,UNICA          ,SE,ALGODAO EM PLUMA                        ,4586,15.0,1.5,0.1
1980/81             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,303.0,201.9,0.7
1981/82             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,86.5,7.8,0.1
1981/82             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,58.0,17.3,0.3
1981/82             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,1208.8,63.0,0.1
1981/82             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,39.0,22.0,0.6
1981/82             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,53.6,3.5,0.1
1981/82             ,UNICA          ,MG,ALGODAO EM PLUMA                        ,4586,95.8,28.0,0.3
1981/82             ,UNICA          ,MS,ALGODAO EM PLUMA                        ,4586,41.8,21.5,0.5
